video_id,view_count,video_size,video_length
vAYdwQ8GNVM,192424,507131861,1494
ahbjJJgqbng,100259,4726008,39
VWl8-BpfBQA,53573,143541366,1113
dA8Z2mXx3mg,126024,34476061436,27055
RGOpq3GNP74,274228,507605482,1713
GRrvXg06yMo,9795977,25167389,109
CvHgF9IBjAg,819588,798723389,1633
g8aWQuUlKYo,721999,638494855,1535
EK95Z5WvtIU,37733,152867611,5358
BFpmPTL9XVY,55007,231756444,1320
gftVYvp9lBA,62663,1477308051,1528
yspb7skpbPo,535198,273422110,699
aQi4xVRCBa4,89243,71785563,751
SGVpoTIquaU,47500,129179672,592
mtflUdMwAHs,355359,236074454,872
QrPySChN9sg,137939,199474349,930
UGOixqx2C4Q,50041,204591456,609
zp_TiCqmxww,5487330,15080183,42
P6CASAXe0LA,118203,429145489,1679
vAJpICkTTKs,63100,238093883,968
jV9uPklwXGQ,54583,23760672469,18980
nmy4MtuWEw8,237758,468686129,1186
xpMf11u9l7Q,301125,595438433,841
1eaiwgQFFbY,64582,187525636,1014
TgnwxbM53Lw,83296,17459823773,12865
aLoWyvLY6M8,1196577,632090176,621
Fqcy0mvuI2I,124346,534783880,1325
vLsXrZidK-w,299896,1129384486,1249
wf-hHDxIZEo,41658,47317244662,33865
rnCbj7PEh-A,125611,264592453,1081
DncnDi5_Z1c,91976,164480599,1786
Ibt10DAXF-A,109093,26533757,218
XtIeF9TSiL8,310276,568664837,694
GsIKuH8RKDo,81748,1153815041,2952
1nfdyuB9kVg,75445,155668715,491
4XlOnTHWJRY,247295,548333204,1554
vazdtEjjI-s,137115,2426076830,8716
miteof3be-g,96188,14697802951,11065
dPwSLAzKhqw,253718,94407680,506
KWpyoEGYHaw,2954582,355579869,2562
CtOD2nvn-uA,1510585,152844830,1014
YWlLPmLCVuw,502994,1556607660,1805
1l2tT9ilv7o,454528,2814764514,5609
g8NiG7qqMT4,369898,7390803750,6718
8MI91HPryHo,706803,262046689,1473
UOf8ATaAApM,705765,4943952,50
VFzh5C9TZWY,384416,199393350,1050
3ieXn84WmKg,144697,188650703,521
hAGetb1PYwg,494351,357079553,1195
gS5-RLB3ctM,483868,202195849,325
7tZM5D7BQJg,42367,32794722,558
i0_uKGfLnMc,380253,2023144010,1767
XMN3jbwaORQ,253977,1395947345,3403
amDDLqzj4Lg,247849,1214191043,6710
ROhH8yBVrns,383920,21730887,124
Y9gv9cjV7t8,1544201,1142320,14
VDqg_RaJwvQ,342869,15189541585,37574
Bdy0tRmN2Es,932146,478362289,1277
n-F_lJF6AGE,103661,12163194811,13126
0PGKM9nq5JA,288266,485187539,1794
S_m5bnIjcSo,629284,379376579,1904
rsZFwUg2N6Q,289179,934014527,822
mP8ttPHcCEc,119786,158605402,1823
9LM4A91Lzso,84612,202389984,887
U5QSEKkHaYI,1152234,191122198,872
6rxiNA3sGXw,2592818,796719,15
8s610-aj9O4,394583,710800788,2309
LdZukvsiAUA,471818,1331208399,9335
yddeBCPdNbo,110189,6540015155,21463
cXtl_wcEe_0,113682,19223334970,15902
6ExKoo4A1rQ,84004,2580863047,1731
Ruu7Bi_uEOk,164884,141769563,616
aO4PXWIG-OA,80785,210166917,1289
yhMokpNarSk,40464,116957388,336
7sYvPJxSuqg,104406,11070219664,19722
8UfQAmz5SHE,79935,9310013,100
Vae6Kw6dICc,30617,6424333204,3741
P1SCSeLRRhw,70282,279907833,878
icv3NfYnwpw,98018,706105164,3307
IollwPfo5Lw,55618,450969823,481
ozNSICxsOR4,128126,159044026,926
EoXsHQ7bmjs,25775,883253606,587
XrX4gqA9NQs,170711,541188714,2619
ELGmobj0iIM,118099,7110103,59
uO2BUdpgsNA,182391,99118954,557
eD7_0gJHlss,45184,83512353,443
wVnLyj8VzCU,49094,439916870,2145
kRJaMss3U-0,663675,134919134,876
flWPUXkWGOA,337817,768661617,776
5vbNb7fvr28,119794,1255248557,10673
QG7kbIKfklw,281903,391450502,1526
wE6Z4X1htwk,51655,29899686195,24090
1qf9V5iEc84,328559,186542292,1218
NAglpep4krw,132414,201689547,826
K2TY4Lu-kC8,993138,348449164,1371
W0qZDhN8h6k,420288,1189994781,1304
EQnIUyu1eYI,99738,3253329,24
Dk6pUfJ5LiE,1037439,232658946,1947
X7txKvRWZnk,259335,798848521,2915
uxQ1ylOZ63o,931424,666028781,1628
VJM5LFFqifY,105873,138877886,1110
nqgWrvLeMxQ,844712,364253392,1252
0bnqTJFX9h8,93444,733432330,820
io_j7lm7l3E,145283,591424679,664
dySJSyH07BM,49293,56747900,172
X9dZ3vrf89I,116158,201595542,816
0M_L2CGRq50,113242,189314945,1300
CMqORQLCMA4,91302,111876617,714
VmKIcIKTCSk,107086,401193010,513
AV0udpS2oFE,891829,354208915,1645
1WrPJe6_ljE,35708,262546599,1453
KfgNUC5izak,309466,1326654815,870
1QtEvkNdM0o,119574,461629365,481
2NB3dvQqhqU,49204,225943080,688
6swdvGVFCzQ,35058,27656158,263
R8FRxEhJRFs,1372036,1682548308,1068
OULTPMHOVIM,2967051,1296252,16
8bEsOg9qyKc,30410,618917348,5240
5jxU8uKT4ZA,124710,1088595155,5103
sK47mK1inHc,286397,832065215,870
Id07T6DpPL4,959263,202904347,1739
-EFr0mWLdMA,273406,12061222,121
MroeL7CP-po,42028,26866212688,20262
YVOkG1Sbtp4,88346,1326875096,773
